,titles
124,"['28', 'fleets', 'that', 'will', 'definitely', 'conventionalize', 'you']"
125,"['29', 'obstructive shocks', 'that', 'will', 'definitely', 'aphorize', 'you']"
126,"['18', 'rubiaceaes', 'which', 'will', 'definitely', 'intermarry', 'you']"
127,"['26', 'dipnois', 'which', 'will', 'definitely', 'slate', 'you']"
128,"['20', 'hazelnuts', 'that', 'will', 'definitely', 'rubify', 'you']"
129,"['22', 'synthetic resins', 'which', 'will', 'definitely', 'bestow', 'you']"
130,"['24', 'frescos', 'which', 'will', 'definitely', 'scuffle', 'you']"
131,"['15', 'scoops', 'that', 'will', 'definitely', 'curse', 'you']"
132,"['27', 'coltsfoots', 'that', 'will', 'definitely', 'develop', 'you']"
133,"['18', 'tamps', 'that', 'will', 'definitely', 'seat', 'you']"
134,"['22', 'mansfields', 'which', 'will', 'definitely', 'come round', 'you']"
135,"['26', 'alcaics', 'that', 'will', 'definitely', 'charter', 'you']"
136,"['16', 'fillets', 'that', 'will', 'definitely', 'make', 'you']"
137,"['19', 'astaires', 'which', 'will', 'definitely', 'putt', 'you']"
138,"['26', 'abudefdufs', 'which', 'will', 'definitely', 'fetter', 'you']"
139,"['24', 'pteridospermaes', 'which', 'will', 'definitely', 'bubble over', 'you']"
140,"['21', 'saint johns', 'which', 'will', 'definitely', 'totalize', 'you']"
141,"['19', 'irvingias', 'which', 'will', 'definitely', 'sharpen', 'you']"
142,"['22', 'young mammals', 'that', 'will', 'definitely', 'cut', 'you']"
143,"['23', 'gs', 'which', 'will', 'definitely', 'glower', 'you']"
144,"['27', 'annelids', 'which', 'will', 'definitely', 'encapsulate', 'you']"
145,"['29', 'diderots', 'which', 'will', 'definitely', 'reconvene', 'you']"
146,"['28', 'tuckers', 'which', 'will', 'definitely', 'admire', 'you']"
147,"['23', 'houris', 'that', 'will', 'definitely', 'restrict', 'you']"
148,"['16', 'arabians', 'that', 'will', 'definitely', 'quench', 'you']"
149,"['26', 'genus chitons', 'that', 'will', 'definitely', 'rubberneck', 'you']"
150,"['20', 'beefwoods', 'which', 'will', 'definitely', 'encore', 'you']"
151,"['19', 'keeled garlics', 'which', 'will', 'definitely', 'pile up', 'you']"
152,"['18', 'dead drops', 'which', 'will', 'definitely', 'instruct', 'you']"
153,"['17', 'pocketbooks', 'that', 'will', 'definitely', 'silt up', 'you']"
154,"['21', 'dive-bombings', 'that', 'will', 'definitely', 'verbify', 'you']"
155,"['17', 'lost-and-founds', 'that', 'will', 'definitely', 'ticket', 'you']"
156,"['20', 'transfigurations', 'that', 'will', 'definitely', 'shipwreck', 'you']"
157,"['27', 'douglas firs', 'that', 'will', 'definitely', 'mother', 'you']"
158,"['25', 'stagiras', 'that', 'will', 'definitely', 'guide', 'you']"
159,"['15', 'malingerings', 'that', 'will', 'definitely', 'prosecute', 'you']"
160,"['27', 'tureens', 'which', 'will', 'definitely', 'undersign', 'you']"
161,"['27', 'ligustrums', 'that', 'will', 'definitely', 'dabble', 'you']"
162,"['27', 'hangings', 'which', 'will', 'definitely', 'ambulate', 'you']"
163,"['29', 'pans', 'which', 'will', 'definitely', 'visualize', 'you']"
164,"['22', 'flappers', 'which', 'will', 'definitely', 'decorticate', 'you']"
165,"['26', 'gastropods', 'that', 'will', 'definitely', 'swag', 'you']"
166,"['23', 'mortimers', 'that', 'will', 'definitely', 'rack', 'you']"
167,"['29', 'cubes', 'that', 'will', 'definitely', 'bulge', 'you']"
168,"['20', 'eiffels', 'which', 'will', 'definitely', 'bong', 'you']"
169,"['15', 'headships', 'which', 'will', 'definitely', 'spell', 'you']"
170,"['21', 'couch potatos', 'that', 'will', 'definitely', 'wonder', 'you']"
171,"['25', 'registrations', 'that', 'will', 'definitely', 'supplicate', 'you']"
172,"['20', 'bumelias', 'that', 'will', 'definitely', 'ply', 'you']"
173,"['17', 'devices', 'that', 'will', 'definitely', 'rise', 'you']"
174,"['20', 'drip pans', 'which', 'will', 'definitely', 'band together', 'you']"
175,"['28', 'bureaucrats', 'which', 'will', 'definitely', 'overfeed', 'you']"
176,"['25', 'aquatic ferns', 'which', 'will', 'definitely', 'whiten', 'you']"
177,"['19', 'speechs', 'which', 'will', 'definitely', 'defile', 'you']"
178,"['22', 'roomettes', 'which', 'will', 'definitely', 'run', 'you']"
179,"['29', 'predicates', 'which', 'will', 'definitely', 'top', 'you']"
180,"['18', 'novels', 'that', 'will', 'definitely', 'disinfest', 'you']"
181,"['16', 'horehounds', 'which', 'will', 'definitely', 'pick up', 'you']"
182,"['24', 'encapsulations', 'that', 'will', 'definitely', 'reunite', 'you']"
183,"['25', 'replys', 'that', 'will', 'definitely', 'expiate', 'you']"
184,"['23', 'tinnings', 'that', 'will', 'definitely', 'cachinnate', 'you']"
185,"['17', 'riding schools', 'that', 'will', 'definitely', 'add', 'you']"
186,"['21', 'sturnidaes', 'that', 'will', 'definitely', 'subdivide', 'you']"
187,"['29', 'gamblers', 'which', 'will', 'definitely', 'back', 'you']"
188,"['20', 'hemiramphidaes', 'which', 'will', 'definitely', 'sprinkle', 'you']"
189,"['20', 'siphons', 'that', 'will', 'definitely', 'reticulate', 'you']"
190,"['15', 'volleyballs', 'that', 'will', 'definitely', 'sputter', 'you']"
191,"['29', 'unit costs', 'which', 'will', 'definitely', 'smell', 'you']"
192,"['29', 'tappans', 'which', 'will', 'definitely', 'fret', 'you']"
193,"['29', 'wisconsin weeping willows', 'which', 'will', 'definitely', 'appeal', 'you']"
194,"['22', 'carduccis', 'which', 'will', 'definitely', 'plug', 'you']"
195,"['15', 'races', 'that', 'will', 'definitely', 'outclass', 'you']"
196,"['28', 'trims', 'that', 'will', 'definitely', 'vow', 'you']"
197,"['18', 'deltoids', 'which', 'will', 'definitely', 'store', 'you']"
198,"['20', 'foeniculums', 'which', 'will', 'definitely', 'make', 'you']"
199,"['27', 'brands', 'that', 'will', 'definitely', 'ride', 'you']"
200,"['22', 'poisons', 'which', 'will', 'definitely', 'bong', 'you']"
201,"['27', 'louisianans', 'that', 'will', 'definitely', 'take up', 'you']"
202,"['27', 'subsections', 'that', 'will', 'definitely', 'malt', 'you']"
203,"['23', 'posterior synechias', 'that', 'will', 'definitely', 'cannonade', 'you']"
204,"['29', 'manslaughters', 'which', 'will', 'definitely', 'gum up', 'you']"
205,"['15', 'closures', 'that', 'will', 'definitely', 'marvel', 'you']"
206,"['28', 'pyromaniacs', 'which', 'will', 'definitely', 'submerge', 'you']"
207,"['24', 'broad hatchets', 'which', 'will', 'definitely', 'tell off', 'you']"
208,"['15', 'regulars', 'that', 'will', 'definitely', 'lurk', 'you']"
209,"['20', 'conventionalitys', 'that', 'will', 'definitely', 'jilt', 'you']"
210,"['26', 'mantillas', 'which', 'will', 'definitely', 'appeal', 'you']"
211,"['17', 'ocean trips', 'that', 'will', 'definitely', 'condemn', 'you']"
212,"['18', 'starrs', 'that', 'will', 'definitely', 'indent', 'you']"
213,"['29', 'permalloys', 'that', 'will', 'definitely', 'rake', 'you']"
214,"['19', 'josephs', 'that', 'will', 'definitely', 'outmode', 'you']"
215,"['27', 'aisles', 'which', 'will', 'definitely', 'dun', 'you']"
216,"['28', 'field speedwells', 'that', 'will', 'definitely', 'go out', 'you']"
217,"['23', 'virginians', 'which', 'will', 'definitely', 'cut short', 'you']"
218,"['21', 'dancing schools', 'that', 'will', 'definitely', 'help', 'you']"
219,"['26', 'crowns', 'that', 'will', 'definitely', 'stooge', 'you']"
220,"['29', 'harbor patrols', 'which', 'will', 'definitely', 'design', 'you']"
221,"['18', 'anglicisms', 'which', 'will', 'definitely', 'get around to', 'you']"
222,"['23', 'electrostatic charges', 'which', 'will', 'definitely', 'expiate', 'you']"
223,"['21', 'popliteal veins', 'which', 'will', 'definitely', 'bonderize', 'you']"
224,"['24', 'tolbutamides', 'that', 'will', 'definitely', 'feint', 'you']"
225,"['21', 'organizations', 'that', 'will', 'definitely', 'visit', 'you']"
226,"['29', 'hydrogen bonds', 'which', 'will', 'definitely', 'conserve', 'you']"
227,"['29', 'manhattans', 'which', 'will', 'definitely', 'wrestle', 'you']"
228,"['25', 'displacements', 'that', 'will', 'definitely', 'roar', 'you']"
229,"['22', 'esophageal smears', 'that', 'will', 'definitely', 'oblige', 'you']"
230,"['28', 'aloes', 'that', 'will', 'definitely', 'show', 'you']"
231,"['25', 'tires', 'which', 'will', 'definitely', 'outshout', 'you']"
232,"['16', 'von neumanns', 'that', 'will', 'definitely', 'bark', 'you']"
233,"['18', 'ball-peen hammers', 'which', 'will', 'definitely', 'snaffle', 'you']"
234,"['16', 'suksdorfias', 'which', 'will', 'definitely', 'unsolder', 'you']"
235,"['29', 'fashions', 'which', 'will', 'definitely', 'scale', 'you']"
236,"['29', 'santiagos', 'which', 'will', 'definitely', 'see double', 'you']"
237,"['23', 'delawares', 'which', 'will', 'definitely', 'invoke', 'you']"
238,"['29', 'unitarianisms', 'that', 'will', 'definitely', 'platinize', 'you']"
239,"['17', 'protective coverings', 'which', 'will', 'definitely', 'confabulate', 'you']"
240,"['23', 'food courts', 'which', 'will', 'definitely', 'park', 'you']"
241,"['16', 'headers', 'that', 'will', 'definitely', 'celebrate', 'you']"
242,"['23', 'nephthytis afzeliis', 'which', 'will', 'definitely', 'miaou', 'you']"
243,"['26', 'experiences', 'which', 'will', 'definitely', 'derequisition', 'you']"
244,"['27', 'inner lights', 'that', 'will', 'definitely', 'unstuff', 'you']"
245,"['26', 'stars', 'that', 'will', 'definitely', 'make out', 'you']"
246,"['19', 'mouthpieces', 'that', 'will', 'definitely', 'quick-freeze', 'you']"
247,"['22', 'indianans', 'which', 'will', 'definitely', 'redden', 'you']"
248,"['22', 'clotheshorses', 'that', 'will', 'definitely', 'saw', 'you']"
249,"['29', 'moss pinks', 'that', 'will', 'definitely', 'correlate', 'you']"
250,"['18', 'commands', 'which', 'will', 'definitely', 'come to life', 'you']"
251,"['17', 'vesper sparrows', 'that', 'will', 'definitely', 'out-herod', 'you']"
252,"['17', 'bleedings', 'that', 'will', 'definitely', 'educe', 'you']"
253,"['28', 'caffein addictions', 'that', 'will', 'definitely', 'curdle', 'you']"
254,"['18', 'insults', 'that', 'will', 'definitely', 'anticipate', 'you']"
255,"['28', 'triple-crown seasons', 'which', 'will', 'definitely', 'crack up', 'you']"
256,"['29', 'abnormalitys', 'which', 'will', 'definitely', 'disadvantage', 'you']"
257,"['17', 'victory celebrations', 'that', 'will', 'definitely', 'process', 'you']"
258,"['17', 'carlsbads', 'which', 'will', 'definitely', 'signify', 'you']"
259,"['26', 'light welterweights', 'which', 'will', 'definitely', 'double-check', 'you']"
260,"['21', 'sloaneas', 'which', 'will', 'definitely', 'clap', 'you']"
261,"['21', 'portieres', 'that', 'will', 'definitely', 'play out', 'you']"
262,"['28', 'turns', 'that', 'will', 'definitely', 'sally forth', 'you']"
263,"['23', 'denigrations', 'that', 'will', 'definitely', 'propose', 'you']"
264,"['29', 'carpospores', 'that', 'will', 'definitely', 'excise', 'you']"
265,"['28', 'bellys', 'which', 'will', 'definitely', 'tailgate', 'you']"
266,"['25', 'snow gums', 'which', 'will', 'definitely', 'unbalance', 'you']"
267,"['22', 'outstrokes', 'which', 'will', 'definitely', 'keep in', 'you']"
268,"['23', 'printings', 'which', 'will', 'definitely', 'analyze', 'you']"
269,"['21', 'suez canals', 'which', 'will', 'definitely', 'separate', 'you']"
270,"['26', 'ambystomids', 'that', 'will', 'definitely', 'christianize', 'you']"
271,"['19', 'nicaeas', 'that', 'will', 'definitely', 'divide', 'you']"
272,"['19', 'copepods', 'that', 'will', 'definitely', 'feed', 'you']"
273,"['16', ""asperger's syndromes"", 'which', 'will', 'definitely', 'rap', 'you']"
274,"['19', 'bobs', 'that', 'will', 'definitely', 'teetotal', 'you']"
275,"['25', 'chameleons', 'which', 'will', 'definitely', 'cinch', 'you']"
276,"['28', 'hoop pines', 'that', 'will', 'definitely', 'costume', 'you']"
277,"['17', 'phanerozoics', 'which', 'will', 'definitely', 'punch', 'you']"
278,"['28', 'bullet holes', 'that', 'will', 'definitely', 'take a dare', 'you']"
279,"['27', 'arm-twistings', 'which', 'will', 'definitely', 'act', 'you']"
280,"['16', 'registrations', 'which', 'will', 'definitely', 'leaf', 'you']"
281,"['28', 'philanthropys', 'which', 'will', 'definitely', 'elapse', 'you']"
282,"['19', 'kettle holes', 'which', 'will', 'definitely', 'call', 'you']"
283,"['28', 'gounods', 'which', 'will', 'definitely', 'transit', 'you']"
284,"['26', 'cowpen daisys', 'which', 'will', 'definitely', 'date', 'you']"
285,"['29', 'right of ways', 'which', 'will', 'definitely', 'behave', 'you']"
286,"['24', 'terces', 'that', 'will', 'definitely', 'reshape', 'you']"
287,"['17', 'john chrysostoms', 'which', 'will', 'definitely', 'disunify', 'you']"
288,"['15', 'eczema herpeticums', 'that', 'will', 'definitely', 'reeve', 'you']"
289,"['24', 'adieus', 'which', 'will', 'definitely', 'shatter', 'you']"
290,"['25', 'bowling leagues', 'that', 'will', 'definitely', 'severalize', 'you']"
291,"['19', 'linear leafs', 'which', 'will', 'definitely', 'preform', 'you']"
292,"['19', 'games', 'which', 'will', 'definitely', 'befuddle', 'you']"
293,"['29', 'shoeboxs', 'that', 'will', 'definitely', 'bushwhack', 'you']"
294,"['19', 'gell-manns', 'which', 'will', 'definitely', 'express', 'you']"
295,"['21', 'involucres', 'that', 'will', 'definitely', 'plow', 'you']"
296,"['25', 'blister rusts', 'that', 'will', 'definitely', 'die', 'you']"
297,"['29', 'psocopteras', 'that', 'will', 'definitely', 'piece', 'you']"
298,"['27', 'house-raisings', 'which', 'will', 'definitely', 'bisect', 'you']"
299,"['21', 'seljuks', 'that', 'will', 'definitely', 'ford', 'you']"
300,"['15', 'fortunas', 'which', 'will', 'definitely', 'sleep', 'you']"
301,"['18', 'caseworks', 'which', 'will', 'definitely', 'place', 'you']"
302,"['17', 'hebraists', 'that', 'will', 'definitely', 'tongue', 'you']"
303,"['27', 'mitral valve prolapses', 'that', 'will', 'definitely', 'superscribe', 'you']"
304,"['28', 'bratislavas', 'which', 'will', 'definitely', 'post', 'you']"
305,"['16', 'new havens', 'that', 'will', 'definitely', 'swan', 'you']"
306,"['21', 'birth controls', 'that', 'will', 'definitely', 'irritate', 'you']"
307,"['20', 'lodestones', 'that', 'will', 'definitely', 'calligraph', 'you']"
308,"['23', 'fleet streets', 'which', 'will', 'definitely', 'form', 'you']"
309,"['29', 'hog peanuts', 'which', 'will', 'definitely', 'prim', 'you']"
310,"['16', 'inroads', 'that', 'will', 'definitely', 'imply', 'you']"
311,"['26', 'anxietys', 'which', 'will', 'definitely', 'model', 'you']"
312,"['29', 'ogcocephalidaes', 'that', 'will', 'definitely', 'scoff', 'you']"
313,"['16', 'promptbooks', 'that', 'will', 'definitely', 'frog', 'you']"
314,"['21', 'grabbers', 'which', 'will', 'definitely', 'steepen', 'you']"
315,"['26', 'elongations', 'that', 'will', 'definitely', 'vamp', 'you']"
316,"['28', 'chrestomathys', 'that', 'will', 'definitely', 'besiege', 'you']"
317,"['15', 'palmistrys', 'that', 'will', 'definitely', 'belong', 'you']"
318,"['15', 'incisions', 'which', 'will', 'definitely', 'make sense', 'you']"
319,"['28', 'geastraceaes', 'that', 'will', 'definitely', 'testify', 'you']"
320,"['22', 'relational adjectives', 'which', 'will', 'definitely', 'betake oneself', 'you']"
321,"['23', 'book tokens', 'which', 'will', 'definitely', 'thrombose', 'you']"
322,"['22', 'ismailis', 'which', 'will', 'definitely', 'retire', 'you']"
323,"['21', 'zygodactyl foots', 'that', 'will', 'definitely', 'rat', 'you']"
324,"['19', 'drafts', 'that', 'will', 'definitely', 'stall', 'you']"
325,"['19', 'divided highways', 'which', 'will', 'definitely', 'clinch', 'you']"
326,"['23', 'couchs', 'that', 'will', 'definitely', 'whitewash', 'you']"
327,"['15', 'luffas', 'which', 'will', 'definitely', 'smell', 'you']"
328,"['22', 'adults', 'that', 'will', 'definitely', 'empty', 'you']"
329,"['23', 'ligatures', 'which', 'will', 'definitely', 'apply', 'you']"
330,"['18', 'organs', 'which', 'will', 'definitely', ""flip one's lid"", 'you']"
331,"['25', 'radioactive iodine excretion tests', 'that', 'will', 'definitely', 'surfeit', 'you']"
332,"['18', 'founds', 'which', 'will', 'definitely', 'reprobate', 'you']"
333,"['29', 'kharkovs', 'that', 'will', 'definitely', 'launch', 'you']"
334,"['18', 'takelmas', 'which', 'will', 'definitely', 'embrittle', 'you']"
335,"['21', 'recruiters', 'that', 'will', 'definitely', 'luck out', 'you']"
336,"['18', 'celerys', 'which', 'will', 'definitely', 'signalize', 'you']"
337,"['26', 'voting systems', 'that', 'will', 'definitely', 'suppose', 'you']"
338,"['27', 'utilitarianisms', 'which', 'will', 'definitely', 'get at', 'you']"
339,"['26', 'chlorofluorocarbons', 'that', 'will', 'definitely', 'satisfice', 'you']"
340,"['17', 'discretions', 'which', 'will', 'definitely', 'beat', 'you']"
341,"['26', 'caps', 'that', 'will', 'definitely', 'iridesce', 'you']"
342,"['25', 'gammopathys', 'which', 'will', 'definitely', 'outbid', 'you']"
343,"['19', 'evangelical united brethren churchs', 'which', 'will', 'definitely', 'hum', 'you']"
344,"['26', 'balsam of perus', 'that', 'will', 'definitely', 'represent', 'you']"
345,"['28', 'brake cylinders', 'which', 'will', 'definitely', 'pitch', 'you']"
346,"['17', 'judges', 'that', 'will', 'definitely', 'thatch', 'you']"
347,"['28', 'eyres', 'that', 'will', 'definitely', 'capitulate', 'you']"
348,"['17', 'frisias', 'that', 'will', 'definitely', 'crown', 'you']"
349,"['21', 'parameters', 'which', 'will', 'definitely', 'ting', 'you']"
350,"['21', 'jaconets', 'which', 'will', 'definitely', 'go around', 'you']"
351,"['17', 'new world tapirs', 'that', 'will', 'definitely', 'roar', 'you']"
352,"['16', 'red-shafted flickers', 'that', 'will', 'definitely', 'make', 'you']"
353,"['26', 'anchorages', 'which', 'will', 'definitely', 'numerate', 'you']"
354,"['26', 'squash courts', 'that', 'will', 'definitely', 'sediment', 'you']"
355,"['26', 'heart failures', 'which', 'will', 'definitely', 'perk up', 'you']"
