,title
39,"Jeans, leggings, jackets, tops, flare pants that I would absolutely not wear BUT THAT'S JUST ME, sweaters, purses, and more xe2x80x94 all up to 40% off!  "
40,I Didn't Realize How Much The Weeknd And Trevor Noah Look Alike Until I Saw These Throwback Pics
41,Am I seeing double?  
42,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
43,Stores That Are Having Great Sales This Weekend
44,"Deals at shopDisney, Home Depot, Macy's, Sephora, and more!  "
0,Tombs Full Of Mummified Cats Have Been Found In Egypt
1,"Seven tombs containing cats and scarabs have been found at a site in Saqqara, near Cairo.  "
2,"Se vocxc3xaa for perfeccionista, estas 24 fotos vxc3xa3o te dar coceira"
3,Clique neste post por sua prxc3xb3pria conta e risco.  
4,Do You Actually Know What These Celebrities' Instagram Usernames Are?
5,Some of it isn't as obvious as it seems.  
6,Vocxc3xaa consegue identificar esses doces fotografados bem de pertinho?
7,xc3x89 pra ver ou pra comer?  
8,Redecorate A Bedroom To Find Out What Your Taste Is
9,Are you minimalist or eclectic?  
10,Can You Name The TV Show From Only Three Episodes?
11,The one where you have to score at least 9/12 to win.  
12,17 Times People Were Really Nice To Each Other That Will Warm Your Frozen Heart
13,It turns out that humans can be kind of great!  
14,24 Cheap Things To Treat Yourself To Right Now
15,"Glittery socks, a comfort food cookbook, the new Fantastic Beasts screenplay, and more awesome under-$25 goodies you 100% need in your life.  "
16,Woman Arrested On Suspicion Of Contaminating Australia's Strawberries With Sewing Needles
17,Queensland police made an arrest following a complex national investigation.  
18,Australia's Best Party Lasts For Four Days And Is Held In A Thing Called 
19,Since the 1800s Australia's richest and most powerful have all vied for an invite to the most coveted party in the country.  
20,32 Of The Best Gifts Under $50 To Give In 2018
21,Stay UNDER budget and leave them OVERwhelmed with joy.  
22,ModCloth's Flash Sale Will Have You Looking Fabulous All Winter Long
23,"But hurry xe2x80x94 these deals on sweaters, dresses, coats, and more last for two days only!  "
24, As An Adult And Had So Many Feelings
25,Raise your hand if you were sexually awakened by this movie.  
26,27 Stylish Bar Carts That'll Make For The Happiest Of Hours
27,Ready to serve up some looks *and* libations.  
28,30 Snuggly Scarves To Wrap Yourself Up In All Winter Long
29,"xe2x99xab Baby, it's cooooold outsiiiiiide! xe2x99xab  "
30,16 Tumblr Posts About Poop To Read While You're On The Toilet
31,People who study poop are called scatologists but I think they should be called turd nerds.
32,29 Pieces Of Furniture You Can Get On Sale At The Home Depot Right Now
33,PSA: The Home Depot sells gorgeous furniture xe2x80x94 and a lot of it is on sale!!!  
34,Which Celebrity Is The Same Height As You?
35,You could totally share clothes.  
36,29 Things You Didn't Know You Could Get At The Home Depot
37,Shop online and avoid those in-store sawdust sneezes!  
38,28 Weird Things You Never Noticed About 
39, But You'll Never Be Able To Unsee Now
40,"In all seven books, Harry Potter only bathes once.  "
41,"GeraltForOverwatch [According to Gamp's Law of Elemental Transformation, the wizards can't actually conjure food from nothing but they could certainly multiply it!]"
0,Rachel Wilkerson Miller
1,Por que fazer faxina xc3xa0s sextas de noite foi a melhor decisxc3xa3o que jxc3xa1 tomei
2,Mas eu nxc3xa3o quero fazer faxina em uma noite de sexta-feira!
3," Certo xe2x80x94 a gente nunca quer fazer faxina. Porxc3xa9m, podemos tornar essa tarefa mais suportxc3xa1vel.  "
4,Monte uma fake news e diremos quantos % das pessoas vxc3xa3o acreditar nela
5,Tem coisas que com forxc3xa7a de vontade vocxc3xaa atxc3xa9 consegue acreditar mesmo.  
6,Spend All Of Your Money At Forever 21 And We'll Correctly Guess Which Animal You Own
7,"Trust us, we know.  "
8,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
9,Chrissy Teigen Got Mad At John Legend For This Pic Before They Were Married And It's Relatable As Heck
10,Ummm...who is that??  
11,30 Things To Help You Jump-Start Your New Year's Resolutions
12,"Listen xe2x80x94 you'll feel so much better by the time 2019 rolls around, I promise!  "
13,Here Are 11 Of Our Favorite Dog Pics To Look At On Instagram Right Now
14,Need a pup pic break? Yeah you do.  
15,"Scroll, enjoy, decompress. You got this."
16,"Alexandre Orrico, Gabriel Sukita"
17,Responda a este teste e diremos se vocxc3xaa prefere dinheiro ou transar
18,Aceitaria R$ 50 milhxc3xb5es para nunca mais transar em toda a sua vida?  
19,"gutabatalha, Isadora Manzaro, Suria Rocha"
20,Jxc3xa1 imaginou receber uma caixa com um ingrediente secreto de outro paxc3xads e ter que desenvolver uma receita com ele?
21,Nxc3xb3s desafiamos o Bien Tasty a fazer uma receita com um ingrediente brasileiro e eis aqui o resultado!  
22,de outra xc3xa9poca
23, nxc3xa3o justifica o Silvio Santos por ter assediado a Claudia Leitte em pleno Teleton
24,A cantora deixou perfeitamente evidente que estava incomodada e constrangida com a situaxc3xa7xc3xa3o.  
25,Estas fotos dramxc3xa1ticas mostram como os animais estxc3xa3o sendo afetados pelos incxc3xaandios na Califxc3xb3rnia
26,Mais de 30 pessoas morreram e milhares de casas jxc3xa1 foram destruxc3xaddas pelas chamas.  
27,31 Pairs Of Boots Under $50 That Look More Expensive Than They Actually Are
28,"Everything in this list is under $50, and now I have no more money.  "
29,This British Celebrity Spoke Powerfully About What He Has Learnt Since Son Came Out
30,"Just love them for who they are and allow them to feel safe. And those little digs and the little knocks and the abuse that they subtly get that we don't know about, perhaps they won't penetrate as deep."
31,As leis sempre estiveram contra a populaxc3xa7xc3xa3o negra xe2x80x93 e sxc3xb3 hxc3xa1 30 anos isso comexc3xa7ou a mudar
32,Nxc3xa3o faltam na histxc3xb3ria brasileira exemplos impressionantes de leis e medidas que agiram a favor da discriminaxc3xa7xc3xa3o.  
33,People Are Screaming After Nicki Minaj Decided To Shoot Her Shot At Michael B. Jordan
34,Shoutout to Michael B. Jordan because he's gonna be taking [this dress] off me tonight.
35,What Current Food Trends Do You Think Will Make Us Cringe In A Few Years?
36,There's an abundance to choose from.  
37,43 Products To Solve Your Biggest Frustrations
38,"Relax, these products have your back.  "
39,Answer These 8 Questions And We'll Reveal Which Queen Song You Are
40,Another one bites the dust
41,   
42,14 Products That'll Save You From Awkward Public ~Emergencies~
43,"A portable charger, panties-on-the-go kit, and things to keep on hand.  "
44,8 Of The Best Places To Reserve A Rental Car Online
45,Because it's time to cross 
46,road trip with my best friends
47, off your bucket list.  
48,You're About To Be A Lot More Productive Thanks To These $99 Noise-Cancelling Headphones
49,"No, you don't have to drop $300+ for Bose QuietComforts to get premium ANC.  "
0,22 coisas que vocxc3xaa talvez nxc3xa3o sabia sobre Stan Lee
1,"Quem cortava o cabelo dele era a esposa, Joan, e o Hulk nxc3xa3o era para ser verde.  "
2,Tell Us If You Put Cheese On These Foods And We'll Tell You Which Kind Of Bird You Are
3,Without feather ado...  
4,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
5,15 Disney's Magic Kingdom Holiday Treats You Can Eat This Christmas
6,It's the most magical time of the year.  
7,Kendall Jenner Is Closer With Stormi Than Her Kardashian Nieces And Nephews
8,She also revealed she's become closer with her Kardashian nieces and nephews since they've got older.  
9,"John Legend's Speech About Chrissy Teigen Is So Hilariously Cute, You Won't Know Whether To Laugh Or Cry"
10,"I am amazed by the woman that youve become. And Im truly glad that the rest of the world has finally found out about it, too."
11,The UK Government Is Launching A Consultation Into How Intersex People In Britain Are Treated
12,"A child needs to be able to live happily and safely and not subject to sterilisations, sex assignments and other harmful practices,"
13, IntersexUK told BuzzFeed News.  
14, Cast Shared Emotional Behind-The-Scenes Photos From Their Last Day Of Filming
15,I can't say goodbye. This is not OK.
16,A histxc3xb3ria da Thaynxc3xa1 e desta turma de artes explica por que precisamos olhar pra fora da nossa bolha
17,"Teve uma menininha que veio falar pra professora assim: 'tia, quando ele me abraxc3xa7ou, eu nxc3xa3o conseguia respirar de txc3xa3o feliz'"
18,.  
19,This Is What Life Looks Like To London's Young Photographers
20,Photographers aged 16 to 19 allowed us to look into their ever-changing world.  
21,Futuro ministro da Defesa de Bolsonaro estava ao lado de Collor quando impeachment foi assinado
22,"Entxc3xa3o ajudante de ordens de Collor, o general da reserva Fernando Azevedo e Silva tambxc3xa9m foi chefe do Estado Maior do Exxc3xa9rcito e estava atuando como assessor especial do presidente do STF, Dias Toffoli.  "
23,British Police Have Thanked David Schwimmer After A Theft Suspect Was Arrested
24,Schwimmer made a viral video that helped publicise a police appeal after people on the internet said the suspect resembled the former Friends actor.  
25,"Last month, Lancashire police released CCTV footage of an alleged theft from a restaurant in Blackpool, a seaside town in the northwest of England. As the clip made its way across social media, many remarked that the suspect looked like Schwimmer."
26,Armie Hammer Criticised Celebrities For Posting Selfies With Stan Lee And People Have A Lot Of Thoughts
27,Everyone grieves differently. You've just now made this entirely about you.
28,Lorde Just Accused Kanye West Of Stealing Her Set Design
29,Don't steal xe2x80x94 not from women or anyone else xe2x80x94 not in 2018 or ever.
30,"Getty Images Speaking to Spinoff, Lorde said: "
31,Direct A Rom-Com And We'll Tell You Exactly Where You'll Meet The One
32,Where will your love story begin?  
33,14 provas de que o loiro xc3xa9 para todas
34,Pele negra e cabelo loiro combinam sim!  
35,"16 Tweets Of People Without Their Phones, Just Living In The Moment"
36,not a cell phone in sight. just people living in the moment.
37,20 Traditional German Christmas Sweets You Need To Try ASAP
38,"It's Plxc3xa4tzchen, bitch.  "
39,29 Makeup Products You Need If Youre Lazy
40,"Honestly with a little effort and luck, you can totally use these from your bed.  "
41,This Yes Or No TV Quiz Will Separate The Millennials From The Gen Z'ers
42,Do you remember being traumatised by that death on The O.C.?  
43,A Young Woman Who Killed Her Fiancxc3xa9 Said He Called Her A 
44,"He told me he was going to change,"
45, Cathrina Cahill told a court as she faced a sentencing hearing for the manslaughter of her fiancxc3xa9.  
0,27 detalhes que provam que comxc3xa9dias romxc3xa2nticas sxc3xa3o muito mais inteligentes do que a gente pensa
1,Quase tudo o que estxc3xa1 em cena tem um significado!  
2,Monte um quarto e diremos seu estilo de decoraxc3xa7xc3xa3o
3,Vocxc3xaa curte uma vibe minimalista ou eclxc3xa9tica?  
4,Here's What Khloxc3xa9 Had To Say About The Tristan Cheating Allegations Hours After Giving Birth
5,It's just too much.
6,E! Kourtney asked: 
7,Is everyone writing you?
8, Khloxc3xa9 replied: 
9,Too many people [are writing me.] But writing about both things.
10, I'm assuming that 
11, refers to both her giving birth and the cheating allegations. She went on to say: 
12,Channing Tatum Might've Just Gone Instagram Official With Jessie J
13,Eye emojis at the ready people.  
14, estxc3xa1 hoje vs. como eram na 1xc2xaa temporada
15,A MELHOR Sxc3x89RIE DE TODOS OS TEMPOS SIM!  
16,"ABC, Matthias Nareyek / Getty O que anda fazendo: O'Quinn nxc3xa3o parou de trabalhar desde o fim de Lost, com papxc3xa9is importantes em vxc3xa1rias sxc3xa9ries de TV, incluindo 666 Park Avenue, Falling Skies, Hawaii Five-O, Castle Rock e Patriot, para citar apenas algumas."
17,19 Things For Anyone Who Is Just Really Into Cake
18,"Have your cake and eat it, too.  "
19,"Como uma mulher negra, estou cansada de ter de provar minha feminilidade"
20,E nxc3xa3o sou uma mulher?
21," xe2x80x93 algumas evidxc3xaancias histxc3xb3ricas sugerem que Sojourner Truth nunca fez essa famosa pergunta. No entanto, como uma mulher alta e de pele escura, esse xc3xa9 o questionamento com a qual lutei toda a minha vida.  "
22,Migos Reenacted Scenes From Netflix's New Show 
23, And I Can't Stop Watching
24,From Grammy noms to Emmy noms?  
25,"Neilson Barnard / Getty Images Offset, Quavo, and Takeoff."
26,"Por algum motivo, as pessoas estxc3xa3o com medo de entrar em guerra com CANGURUS"
27,Jxc3xa1 parou para pensar quantos cangurus cada habitante da sua cidade teria que enfrentar? Essas pessoas jxc3xa1.  
28,Escolha um sanduxc3xadche e te darei um esculacho necessxc3xa1rio
29,xc3x80s vezes xc3xa9 bom ouvir umas verdades.  
30,"Governo de Bolsonaro nxc3xa3o teve paz para tentar se organizar, diz Onyx"
31,"Reportagem da Folha aponta que futuro ministro de Bolsonaro recebeu outra doaxc3xa7xc3xa3o eleitoral via caixa 2, alxc3xa9m da que Onyx havia admitido. "
32,"Eu pedi a todos que nos dessem uma trxc3xa9gua, [para] que nxc3xb3s pudxc3xa9ssemos organizar o governo"
33,", disse ele.  "
34,"Onyx Lorenzoni (DEM-RS), futuro ministro da Casa Civil, reagiu hoje a uma reportagem sobre caixa 2 que ele teria praticado em 2012 com um novo pedido de "
35, para o governo de Jair Bolsonaro (PSL). 
36,"Se vocxc3xaa tinha dxc3xbavidas sobre o que xc3xa9 sexo e o que xc3xa9 preliminar, aqui estxc3xa3o algumas respostas"
37,"Nxc3xa3o sabemos quem perguntou se sexo oral era preliminar, mas a pergunta estxc3xa1 respondida aqui.  "
38,xc3x89 simplesmente impossxc3xadvel nxc3xa3o amar o youtuber Pedro Henrique
39,"Com 11 anos, Pedro viralizou por seu amor aos animais e por provavelmente ser a crianxc3xa7a mais fofa do mundo.  "
40,Kim Kardashian Made Throat-Cutting Gestures Behind Tristan's Back When She Saw Him After The Cheating Allegations
41,"Ooh boy, this is awkward as hell.  "
42,Barack Obama's Proposal To Michelle Sounds Very Similar To Chandler's Proposal In 
43,I never thought I would compare Barack Obama to Chandler Bing and yet here we are.  
44,Host A Dinner Party In The Future And We'll Reveal Your Current Mood
45,Let the future reveal your present.  
46,37 Amazing Pairs Of Leggings That People Actually Swear By
47,Because no pants are the best pants.  
48,Rate These Gatorade Flavors And We'll Tell You Where You'll Meet Your Soulmate
49,Quench your thirst.  
50,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
51,18 Jokes For People Who Are Definitely Not A Morning Person
52,*Hits snooze multiple times*  
53,A Woman Who Accused A Chinese Film Star Of Raping Her Does Not Have To Give Evidence At A Committal Hearing
54,"Yunxiang Gao's lawyers said they had to cross-examine his accuser on her story, but a judge ruled the woman did not need to give evidence at a pre-trial hearing.  "
0,15 Words You Didn't Know Came From Classic Literature
1,Fun fact about words: We made them all up!  
2,"A Woman Dried Her Underwear Using An Airplane Vent, And You Will Never Want To Fly Again"
3,"Pretzels, peanuts, panties.  "
4,Ice-T Tweeted That He's Never Eaten A Bagel And It Quickly Escalated Into An Actual Fight
5,This is a wild ride.  
6,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
7,21 Actually Addictive Fall Vegetable Side Dishes
8,These veggies will steal the show.  
9,Bolsonaro diz que vai avaliar prova do Enem antes da aplicaxc3xa7xc3xa3o por causa de questxc3xa3o sobre gays
10,"xe2x80x9cEssa prova do Enem, vxc3xa3o falar que eu txc3xb4 implicando. Agora, pelo amor de Deus, esse tema, uma linguagem particular daquelas pessoas, que nxc3xb3s temos a ver com isso meu Deus do cxc3xa9u?xe2x80x9d, disse o presidente eleito em transmissxc3xa3o ao vivo por redes sociais. View Entirxe2x80xa6"
11,RIP My Savings Because Nordstrom Is Having A Huge Sale
12,"Jeans, leggings, jackets, tops, flare pants that I would absolutely not wear BUT THAT'S JUST ME, sweaters, purses, and more xe2x80x94 all up to 40% off!  "
13,I Didn't Realize How Much The Weeknd And Trevor Noah Look Alike Until I Saw These Throwback Pics
14,Am I seeing double?  
15,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
16,Stores That Are Having Great Sales This Weekend
17,"Deals at shopDisney, Home Depot, Macy's, Sephora, and more!  "
18,The Latest Brexit Plan Says Summer 2020 Is The Deadline To Find A Trade Deal That Avoids A Hard Border In Ireland
19,EXCLUSIVE: BuzzFeed News has seen a note to EU ambassadors that lays out a new backstop plan for the first time.  
20,18 Things We All Did In The '90s But Will Never Do Again
21,It was a simpler time...  
22,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
23,17 Fuss-Free Dinners Which Require Only 3 Ingredients
24,The only recipe list you'll need if you're a busy bee.  
25,Meet All Of The Model Newcomers And Alums Walking In This Year's Victoria's Secret Fashion Show
26,"From Adriana Lima to Jasmine Tookes to Duckie Thot, See who slayed the runway at the world's most-watched fashion event of the year.  "
27,The Spice Girls Technically Forgot To Invite Posh On Their New Tour And It's Both Awkward And Hilarious
28,She did raise the point that she was never actually asked.
29,"No, hold on! Hold on! We did [ask her],"
30,"The day at [Geri's] house we did. We had the picture. She said, 'I do not...' Yeah. She just didn't want to talk."
31,Here Are The Funniest Tweets Written By Women This Week
32,Is it rude if I ask my employer to pay me?
33,EXCLUSIVO: Como foi a conversa com Paulo Guedes que chocou senadores na vxc3xa9spera do reajuste do STF
34,Prensa em mim ninguxc3xa9m dxc3xa1
35,", disse o presidente do Senado, Eunxc3xadcio Oliveira (MDB-CE), ao BuzzFeed News. Segundo ele, Bolsonaro nxc3xa3o tem interlocutor no Congresso.  "
36,What's The Coolest Behind-The-Scenes Christmas Movie Fact?
37,'Tis the season!  
38,"20th Century Fox Maureen O'Hara wrote in her autobiography that Edmund Gwenn, who won an Oscar for playing Kris Kringle in the movie, actually played Santa in the 1946 Macy's parade, because that was the only way they'd be able to get the shots for the movie."
39,Mariana usou uma casquinha de sorvete para explicar o que xc3xa9 marginalizaxc3xa7xc3xa3o
40,"A professora lembrou que ser marginalizado nxc3xa3o xc3xa9 o mesmo que ser bandido, e sim estar xc3xa0 margem da sociedade.  "
41,"@marianapitel / Via Instagram: @marianapitel Esse xc3xa9 outro registro da Mariana sobre a Cidade Tiradentes, para lembrar que a "
42,quebrada tambxc3xa9m floriu
43,Diga que horas sxc3xa3o agora e iremos te indicar algo para assistir na Netflix
44,Toda hora xc3xa9 hora de ver alguma coisa maneira.  
45,Jimmy Fallon Gave Emma Stone A BuzzFeed Quiz On 
46,", And Now We Know What Spice Girl She Is"
47,"I've saw the Spice Girls in the 90s, '02, and '08."
48,27 filmes de terror perfeitos para ver com quem nxc3xa3o gosta muito de filmes de terror
49,Podem assistir sem medo de errar.  
0,"Green Bean Casserole Is The Best Part Of Thanksgiving, And If You Disagree, We're Gonna Take This Outside"
1,Cranberry sauce is dumb.  
2,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
3,Bake Some Cookies To Find Out Which Christmas Movie You Should Watch On Netflix
4,Christmas = cozy up with Netflix and don't leave the house.  
5,A Christmas Prince A Very Murray Christmas BoJack Horseman: Christmas Special Christmas Inheritance Gilmore Girls: A Year in The Life (Episode 1: 
6,73 Questions With Vogue
7," Video, And It's Practically Perfect In Every Way"
8,"And yes, the video is full of references to The Devil Wears Prada.  "
9,This Leading Coral Reef Research Centre Has Been Turned Down For Future Funding And Scientists Are Confused
10,"The IPCC report said that if global surface temperatures rise 2 degrees Celsius, xe2x80x9cvirtually allxe2x80x9d coral reefs will be lost.  "
11,Pick A Forever New Outfit And We'll Tell You When You'll Get Married
12,The quiz doesn't lie.  
13,"Getty Images / BuzzFeed Its As/Is week at BuzzFeed Oz! Were focusing on Aussie style and beauty posts for a whole week, click here to check out more."
14,"This Girl Tried To Guess If These People Do Drag, And You May Start Gagging"
15,"All tea, and a little bit of shade.  "
16,"Splurge On A Bunch Of Stuff, And We'll Reveal How Rich You'll Be"
17,Are you destined for millions or ~billions~?  
18,The Spice Girls Have Replaced 
19,"Stop right now, thank you very much."
20,21 Tweets That Dog Owners And ONLY Dog Owners Will Understand
21,These feelings are unique to dog owners ONLY.  
22,21 Holy Grail Fashion Websites That Every Australian Should Be Shopping On
23,The best places to spend all that hard-earned money.  
